date,client,library,frequency
2017-06-01,desktop,Brewser,1
2017-06-01,desktop,CamanJS,27
2017-06-01,desktop,Can,74
2017-06-01,desktop,Closure Library,222
2017-06-01,desktop,ControlJS,17
2017-06-01,desktop,CreateJS,2071
2017-06-01,desktop,D3,1290
2017-06-01,desktop,DC.js,3
2017-06-01,desktop,Dojo,1350
2017-06-01,desktop,Ember.js,295
2017-06-01,desktop,Ext JS,541
2017-06-01,desktop,Fabric.js,114
2017-06-01,desktop,FastClick,6333
2017-06-01,desktop,FlexSlider,39265
2017-06-01,desktop,FlotCharts,1028
2017-06-01,desktop,FuseJS,15
2017-06-01,desktop,GWT,824
2017-06-01,desktop,Glow,16
2017-06-01,desktop,Google Maps,16313
2017-06-01,desktop,Greensock JS,11016
2017-06-01,desktop,Hammer.js,5790
2017-06-01,desktop,Handlebars,5670
2017-06-01,desktop,Head JS,1913
2017-06-01,desktop,Highcharts,2077
2017-06-01,desktop,IfVisible.js,150
2017-06-01,desktop,InfoVis,10
2017-06-01,desktop,Ink,19
2017-06-01,desktop,Isotope,14865
2017-06-01,desktop,Kendo UI,488
2017-06-01,desktop,Knockout,2368
2017-06-01,desktop,LABjs,1483
2017-06-01,desktop,Leaflet,1371
2017-06-01,desktop,Lo-Dash,9965
2017-06-01,desktop,Mapbox,212
2017-06-01,desktop,Marionette,571
2017-06-01,desktop,Material Design Lite,380
2017-06-01,desktop,Matter.js,3
2017-06-01,desktop,MochiKit,1
2017-06-01,desktop,Modernizr,75578
2017-06-01,desktop,Moment Timezone,2057
2017-06-01,desktop,Moment.js,15217
2017-06-01,desktop,MooTools,8802
2017-06-01,desktop,Mustache,4194
